label,start_datetime,end_datetime,room_capacity,room_name,course_name,course_code
projet,2024-03-13 12:00:00,2024-03-13 14:00:00,32.0,CO4,Conception de mécanismes II,MICRO-201
cours,2024-03-20 10:00:00,2024-03-20 12:00:00,49.0,CM1104,Conception de mécanismes II,MICRO-201
cours,2024-03-27 10:00:00,2024-03-27 12:00:00,114.0,CM1105,Conception de mécanismes II,MICRO-201
projet,2024-03-27 12:00:00,2024-03-27 14:00:00,41.0,CO6,Conception de mécanismes II,MICRO-201
projet,2024-04-17 12:00:00,2024-04-17 14:00:00,49.0,CM1104,Conception de mécanismes II,MICRO-201
projet,2024-04-17 12:00:00,2024-04-17 14:00:00,41.0,CO6,Conception de mécanismes II,MICRO-201
projet,2024-05-01 12:00:00,2024-05-01 14:00:00,32.0,CO4,Conception de mécanismes II,MICRO-201
projet,2024-05-01 12:00:00,2024-05-01 14:00:00,49.0,CM1104,Conception de mécanismes II,MICRO-201
cours,2024-05-08 10:00:00,2024-05-08 12:00:00,184.0,CM11,Conception de mécanismes II,MICRO-201
projet,2024-05-08 12:00:00,2024-05-08 14:00:00,114.0,CM1105,Conception de mécanismes II,MICRO-201
projet,2024-05-15 12:00:00,2024-05-15 14:00:00,49.0,CM1104,Conception de mécanismes II,MICRO-201
projet,2024-05-22 12:00:00,2024-05-22 14:00:00,114.0,CM1105,Conception de mécanismes II,MICRO-201
projet,2024-05-22 12:00:00,2024-05-22 14:00:00,41.0,CO6,Conception de mécanismes II,MICRO-201
projet,2024-05-29 12:00:00,2024-05-29 14:00:00,49.0,CM1104,Conception de mécanismes II,MICRO-201
projet,2024-05-29 12:00:00,2024-05-29 14:00:00,114.0,CM1105,Conception de mécanismes II,MICRO-201
